prototype_id,function_name,constant_index,constant_type,original_repr,readable_repr,decoded_value,equal
P01,startup_iife,24,string,"""string""","""string""",string,true
P01,startup_iife,25,string,"""len""","""len""",len,true
P01,startup_iife,26,string,"""gateIP""","""gateIP""",gateIP,true
P01,startup_iife,27,string,"""nofile""","""nofile""",nofile,true
P01,startup_iife,28,string,"""role""","""role""",role,true
P01,startup_iife,29,string,"""open""","""open""",open,true
P01,startup_iife,30,string,"""core_func_md5""","""core_func_md5""",core_func_md5,true
P01,startup_iife,31,string,"""stuff""","""stuff""",stuff,true
P01,startup_iife,32,string,"""999""","""999""",999,true
P01,startup_iife,33,string,"""io""","""io""",io,true
P01,startup_iife,34,string,"""exists""","""exists""",exists,true
P01,startup_iife,35,string,"""ycFunction""","""ycFunction""",ycFunction,true
P01,startup_iife,36,string,"""mkdir""","""mkdir""",mkdir,true
P01,startup_iife,37,string,"""math""","""math""",math,true
P01,startup_iife,38,string,"""floor""","""floor""",floor,true
P01,startup_iife,39,string,"""exp""","""exp""",exp,true
P01,startup_iife,40,string,"""sqrt""","""sqrt""",sqrt,true
P01,startup_iife,41,string,"""char""","""char""",char,true
P01,startup_iife,42,string,"""reverse""","""reverse""",reverse,true
P01,startup_iife,43,string,"""pcall""","""pcall""",pcall,true
P01,startup_iife,44,string,"""res/""","""res/""",res/,true
P01,startup_iife,45,string,"""format""","""format""",format,true
P01,startup_iife,46,string,"""core%s.zip""","""core%s.zip""",core%s.zip,true
P01,startup_iife,47,string,"""USE_ARM64""","""USE_ARM64""",USE_ARM64,true
P01,startup_iife,48,string,"""64""","""64""",64,true
P01,startup_iife,49,string,"""dcore%s.zip""","""dcore%s.zip""",dcore%s.zip,true
P01,startup_iife,50,string,"""an""","""an""",an,true
P01,startup_iife,51,string,"""newMsgbox""","""newMsgbox""",newMsgbox,true
P01,startup_iife,52,string,"""\228\189\160\231\154\132\231\153\187\233\153\134\229\153\168\228\184\141\230\152\175G\231\137\136\231\153\187\233\153\134\229\153\168\n\232\175\183\228\184\139\232\189\189bzmir.bin\239\188\129 ""","""\228\189\160\231\154\132\231\153\187\233\153\134\229\153\168\228\184\141\230\152\175G\231\137\136\231\153\187\233\153\134\229\153\168\n\232\175\183\228\184\139\232\189\189bzmir.bin\239\188\129 ""","你的登陆器不是G版登陆器
请下载bzmir.bin！ ",true
P01,startup_iife,53,string,"""center""","""center""",center,true
P01,startup_iife,54,string,"""close""","""close""",close,true
P01,startup_iife,55,string,"""scheduler""","""scheduler""",scheduler,true
P01,startup_iife,56,string,"""performWithDelayGlobal""","""performWithDelayGlobal""",performWithDelayGlobal,true
P01,startup_iife,57,string,"""6""","""6""",6,true
P01,startup_iife,58,string,"""cc""","""cc""",cc,true
P01,startup_iife,59,string,"""Crypto""","""Crypto""",Crypto,true
P01,startup_iife,60,string,"""decryptXXTEA""","""decryptXXTEA""",decryptXXTEA,true
P01,startup_iife,61,string,"""what""","""what""",what,true
P01,startup_iife,62,string,"""C""","""C""",C,true
P01,startup_iife,63,string,"""core_func_byby""","""core_func_byby""",core_func_byby,true
P01,startup_iife,64,string,"""\233\157\158\230\179\149hook""","""\233\157\158\230\179\149hook""",非法hook,true
P01,startup_iife,65,string,"""readfile""","""readfile""",readfile,true
P01,startup_iife,66,string,"""core\231\188\186\229\164\177""","""core\231\188\186\229\164\177""",core缺失,true
P01,startup_iife,67,string,"""core_func_decryptTEA""","""core_func_decryptTEA""",core_func_decryptTEA,true
P01,startup_iife,68,string,"""\231\136\178""","""\231\136\178""",爲,true
P01,startup_iife,69,string,"""core_func_writefile""","""core_func_writefile""",core_func_writefile,true
P01,startup_iife,70,string,"""LuaLoadChunksFromZIP""","""LuaLoadChunksFromZIP""",LuaLoadChunksFromZIP,true
P01,startup_iife,71,string,"""os""","""os""",os,true
P01,startup_iife,72,string,"""remove""","""remove""",remove,true
P01,startup_iife,73,string,"""hookcore%s.zip""","""hookcore%s.zip""",hookcore%s.zip,true
P01,startup_iife,74,string,"""set_helper""","""set_helper""",set_helper,true
P01,startup_iife,75,string,"""core_func_createNet""","""core_func_createNet""",core_func_createNet,true
P01,startup_iife,76,string,"""POST""","""POST""",POST,true
P01,startup_iife,77,string,"""getFileData""","""getFileData""",getFileData,true
P01,startup_iife,78,string,"""gplus.bin""","""gplus.bin""",gplus.bin,true
P01,startup_iife,79,string,"""smlt_""","""smlt_""",smlt_,true
P01,startup_iife,80,string,"""time""","""time""",time,true
P01,startup_iife,81,string,"""none""","""none""",none,true
P01,startup_iife,82,string,"""g_data""","""g_data""",g_data,true
P01,startup_iife,83,string,"""login""","""login""",login,true
P01,startup_iife,84,string,"""localLastSer""","""localLastSer""",localLastSer,true
P01,startup_iife,85,string,"""zonename""","""zonename""",zonename,true
P01,startup_iife,86,string,"""crypto""","""crypto""",crypto,true
P01,startup_iife,87,string,"""encodeBase64""","""encodeBase64""",encodeBase64,true
P01,startup_iife,88,string,"""setPOSTData""","""setPOSTData""",setPOSTData,true
P01,startup_iife,89,string,"""ip=""","""ip=""",ip=,true
P01,startup_iife,90,string,"""&uid=""","""&uid=""",&uid=,true
P01,startup_iife,91,string,"""&code=""","""&code=""",&code=,true
P01,startup_iife,92,string,"""&key=""","""&key=""",&key=,true
P01,startup_iife,93,string,"""decodeBase64""","""decodeBase64""",decodeBase64,true
P01,startup_iife,94,string,"""&version=""","""&version=""",&version=,true
P01,startup_iife,95,string,"""&zone=""","""&zone=""",&zone=,true
P01,startup_iife,96,string,"""setTimeout""","""setTimeout""",setTimeout,true
P01,startup_iife,97,string,"""start""","""start""",start,true
P02,key_fragment_rm,1,string,"""rM""","""rM""",rM,true
P03,key_fragment_a,1,string,"""A""","""A""",A,true
P05,decrypt_remote_content,1,string,"""cc""","""cc""",cc,true
P05,decrypt_remote_content,2,string,"""Crypto""","""Crypto""",Crypto,true
P05,decrypt_remote_content,3,string,"""decodeBase64""","""decodeBase64""",decodeBase64,true
P05,decrypt_remote_content,4,string,"""what""","""what""",what,true
P05,decrypt_remote_content,5,string,"""C""","""C""",C,true
P05,decrypt_remote_content,6,string,"""core_func_decryptTEA""","""core_func_decryptTEA""",core_func_decryptTEA,true
P05,decrypt_remote_content,7,string,"""core_func_decodeBase64""","""core_func_decodeBase64""",core_func_decodeBase64,true
P05,decrypt_remote_content,8,string,"""tostring""","""tostring""",tostring,true
P05,decrypt_remote_content,9,string,"""os""","""os""",os,true
P05,decrypt_remote_content,10,string,"""date""","""date""",date,true
P05,decrypt_remote_content,11,string,"""%Y%m""","""%Y%m""",%Y%m,true
P05,decrypt_remote_content,12,string,"""K""","""K""",K,true
P05,decrypt_remote_content,13,string,"""s""","""s""",s,true
P05,decrypt_remote_content,14,string,"""oLrt""","""oLrt""",oLrt,true
P05,decrypt_remote_content,15,string,"""def""","""def""",def,true
P05,decrypt_remote_content,16,string,"""role""","""role""",role,true
P05,decrypt_remote_content,17,string,"""stuff""","""stuff""",stuff,true
P05,decrypt_remote_content,18,string,"""core_func_exit""","""core_func_exit""",core_func_exit,true
P06,write_file,1,string,"""io""","""io""",io,true
P06,write_file,2,string,"""write""","""write""",write,true
P06,write_file,3,string,"""what""","""what""",what,true
P06,write_file,4,string,"""C""","""C""",C,true
P06,write_file,5,string,"""open""","""open""",open,true
P06,write_file,6,string,"""w+b""","""w+b""",w+b,true
P06,write_file,7,string,"""close""","""close""",close,true
P06,write_file,8,string,"""core_func_exit""","""core_func_exit""",core_func_exit,true
P07,execute_lua,1,string,"""pcall""","""pcall""",pcall,true
P07,execute_lua,2,string,"""what""","""what""",what,true
P07,execute_lua,3,string,"""C""","""C""",C,true
P07,execute_lua,4,string,"""core_func_exit""","""core_func_exit""",core_func_exit,true
P07,execute_lua,5,string,"""load""","""load""",load,true
P08,execute_lua_callback,1,string,"""load""","""load""",load,true
P09,load_cached_code,1,string,"""isloaded""","""isloaded""",isloaded,true
P09,load_cached_code,2,string,"""io""","""io""",io,true
P09,load_cached_code,3,string,"""exists""","""exists""",exists,true
P09,load_cached_code,4,string,""".bin""",""".bin""",.bin,true
P09,load_cached_code,5,string,"""readfile""","""readfile""",readfile,true
P09,load_cached_code,6,string,"""print""","""print""",print,true
P09,load_cached_code,7,string,"""m1""","""m1""",m1,true
P09,load_cached_code,8,string,"""nover""","""nover""",nover,true
P10,load_cached_version,1,string,"""io""","""io""",io,true
P10,load_cached_version,2,string,"""exists""","""exists""",exists,true
P10,load_cached_version,3,string,""".bin""",""".bin""",.bin,true
P10,load_cached_version,4,string,""".version""",""".version""",.version,true
P10,load_cached_version,5,string,"""readfile""","""readfile""",readfile,true
P11,save_cached_version,1,string,""".version""",""".version""",.version,true
P12,save_cached_content,1,string,""".bin""",""".bin""",.bin,true
P12,save_cached_content,2,string,"""print""","""print""",print,true
P12,save_cached_content,3,string,"""m2""","""m2""",m2,true
P13,request_backup_update,1,string,"""1""","""1""",1,true
P13,request_backup_update,2,string,"""def""","""def""",def,true
P13,request_backup_update,3,string,"""debugkey""","""debugkey""",debugkey,true
P13,request_backup_update,4,string,"""print""","""print""",print,true
P13,request_backup_update,5,string,"""\230\178\161\230\156\137\229\143\175\228\187\165\232\174\191\233\151\174\231\154\132\230\156\141\229\138\161\229\153\168""","""\230\178\161\230\156\137\229\143\175\228\187\165\232\174\191\233\151\174\231\154\132\230\156\141\229\138\161\229\153\168""",没有可以访问的服务器,true
P13,request_backup_update,6,string,"""dirty""","""dirty""",dirty,true
P13,request_backup_update,7,string,"""core_func_createNet""","""core_func_createNet""",core_func_createNet,true
P13,request_backup_update,8,string,"""POST""","""POST""",POST,true
P13,request_backup_update,9,string,"""ycFunction""","""ycFunction""",ycFunction,true
P13,request_backup_update,10,string,"""getFileData""","""getFileData""",getFileData,true
P13,request_backup_update,11,string,"""gplus.bin""","""gplus.bin""",gplus.bin,true
P13,request_backup_update,12,string,"""smlt_""","""smlt_""",smlt_,true
P13,request_backup_update,13,string,"""os""","""os""",os,true
P13,request_backup_update,14,string,"""time""","""time""",time,true
P13,request_backup_update,15,string,"""none""","""none""",none,true
P13,request_backup_update,16,string,"""g_data""","""g_data""",g_data,true
P13,request_backup_update,17,string,"""login""","""login""",login,true
P13,request_backup_update,18,string,"""localLastSer""","""localLastSer""",localLastSer,true
P13,request_backup_update,19,string,"""zonename""","""zonename""",zonename,true
P13,request_backup_update,20,string,"""crypto""","""crypto""",crypto,true
P13,request_backup_update,21,string,"""encodeBase64""","""encodeBase64""",encodeBase64,true
P13,request_backup_update,22,string,"""setPOSTData""","""setPOSTData""",setPOSTData,true
P13,request_backup_update,23,string,"""ip=""","""ip=""",ip=,true
P13,request_backup_update,24,string,"""&uid=""","""&uid=""",&uid=,true
P13,request_backup_update,25,string,"""&code=""","""&code=""",&code=,true
P13,request_backup_update,26,string,"""&key=""","""&key=""",&key=,true
P13,request_backup_update,27,string,"""decodeBase64""","""decodeBase64""",decodeBase64,true
P13,request_backup_update,28,string,"""role""","""role""",role,true
P13,request_backup_update,29,string,"""stuff""","""stuff""",stuff,true
P13,request_backup_update,30,string,"""&version=""","""&version=""",&version=,true
P13,request_backup_update,31,string,"""&zone=""","""&zone=""",&zone=,true
P13,request_backup_update,32,string,"""setTimeout""","""setTimeout""",setTimeout,true
P13,request_backup_update,33,string,"""6""","""6""",6,true
P13,request_backup_update,34,string,"""start""","""start""",start,true
P14,backup_network_callback,1,string,"""name""","""name""",name,true
P14,backup_network_callback,2,string,"""completed""","""completed""",completed,true
P14,backup_network_callback,3,string,"""failed""","""failed""",failed,true
P14,backup_network_callback,4,string,"""def""","""def""",def,true
P14,backup_network_callback,5,string,"""debugkey""","""debugkey""",debugkey,true
P14,backup_network_callback,6,string,"""print""","""print""",print,true
P14,backup_network_callback,7,string,"""backup not ok""","""backup not ok""",backup not ok,true
P14,backup_network_callback,8,string,"""request""","""request""",request,true
P14,backup_network_callback,9,string,"""getResponseStatusCode""","""getResponseStatusCode""",getResponseStatusCode,true
P14,backup_network_callback,10,string,"""200""","""200""",200,true
P14,backup_network_callback,11,string,"""getResponseData""","""getResponseData""",getResponseData,true
P14,backup_network_callback,12,string,"""u7bTrcq508Ow19bttcfCvMb3""","""u7bTrcq508Ow19bttcfCvMb3""",u7bTrcq508Ow19bttcfCvMb3,true
P14,backup_network_callback,13,string,"""core_func_exit""","""core_func_exit""",core_func_exit,true
P14,backup_network_callback,14,string,"""OK""","""OK""",OK,true
P14,backup_network_callback,15,string,"""same versions""","""same versions""",same versions,true
P14,backup_network_callback,16,string,"""isloaded""","""isloaded""",isloaded,true
P14,backup_network_callback,17,string,"""require""","""require""",require,true
P14,backup_network_callback,18,string,"""cjson""","""cjson""",cjson,true
P14,backup_network_callback,19,string,"""decode""","""decode""",decode,true
P14,backup_network_callback,20,string,"""json decode error""","""json decode error""",json decode error,true
P14,backup_network_callback,21,string,"""version""","""version""",version,true
P14,backup_network_callback,22,string,"""content""","""content""",content,true
P14,backup_network_callback,23,string,"""json format error""","""json format error""",json format error,true
P14,backup_network_callback,24,string,"""content decode error""","""content decode error""",content decode error,true
P14,backup_network_callback,25,string,"""run code error""","""run code error""",run code error,true
P15,backup_get_or_create_uuid,1,string,"""device""","""device""",device,true
P15,backup_get_or_create_uuid,2,string,"""writablePath""","""writablePath""",writablePath,true
P15,backup_get_or_create_uuid,3,string,"""bzuuid""","""bzuuid""",bzuuid,true
P15,backup_get_or_create_uuid,4,string,"""io""","""io""",io,true
P15,backup_get_or_create_uuid,5,string,"""exists""","""exists""",exists,true
P15,backup_get_or_create_uuid,6,string,"""crypto""","""crypto""",crypto,true
P15,backup_get_or_create_uuid,7,string,"""md5""","""md5""",md5,true
P15,backup_get_or_create_uuid,8,string,"""core_func_writefile""","""core_func_writefile""",core_func_writefile,true
P15,backup_get_or_create_uuid,9,string,"""readfile""","""readfile""",readfile,true
P16,request_primary_update,1,string,"""dirty""","""dirty""",dirty,true
P16,request_primary_update,2,string,"""def""","""def""",def,true
P16,request_primary_update,3,string,"""debugkey""","""debugkey""",debugkey,true
P16,request_primary_update,4,string,"""print""","""print""",print,true
P16,request_primary_update,5,string,"""core_func_createNet""","""core_func_createNet""",core_func_createNet,true
P16,request_primary_update,6,string,"""POST""","""POST""",POST,true
P16,request_primary_update,7,string,"""ycFunction""","""ycFunction""",ycFunction,true
P16,request_primary_update,8,string,"""getFileData""","""getFileData""",getFileData,true
P16,request_primary_update,9,string,"""gplus.bin""","""gplus.bin""",gplus.bin,true
P16,request_primary_update,10,string,"""smlt_""","""smlt_""",smlt_,true
P16,request_primary_update,11,string,"""os""","""os""",os,true
P16,request_primary_update,12,string,"""time""","""time""",time,true
P16,request_primary_update,13,string,"""none""","""none""",none,true
P16,request_primary_update,14,string,"""g_data""","""g_data""",g_data,true
P16,request_primary_update,15,string,"""login""","""login""",login,true
P16,request_primary_update,16,string,"""localLastSer""","""localLastSer""",localLastSer,true
P16,request_primary_update,17,string,"""zonename""","""zonename""",zonename,true
P16,request_primary_update,18,string,"""crypto""","""crypto""",crypto,true
P16,request_primary_update,19,string,"""encodeBase64""","""encodeBase64""",encodeBase64,true
P16,request_primary_update,20,string,"""setPOSTData""","""setPOSTData""",setPOSTData,true
P16,request_primary_update,21,string,"""ip=""","""ip=""",ip=,true
P16,request_primary_update,22,string,"""&uid=""","""&uid=""",&uid=,true
P16,request_primary_update,23,string,"""&code=""","""&code=""",&code=,true
P16,request_primary_update,24,string,"""&key=""","""&key=""",&key=,true
P16,request_primary_update,25,string,"""decodeBase64""","""decodeBase64""",decodeBase64,true
P16,request_primary_update,26,string,"""role""","""role""",role,true
P16,request_primary_update,27,string,"""stuff""","""stuff""",stuff,true
P16,request_primary_update,28,string,"""&version=""","""&version=""",&version=,true
P16,request_primary_update,29,string,"""&zone=""","""&zone=""",&zone=,true
P16,request_primary_update,30,string,"""setTimeout""","""setTimeout""",setTimeout,true
P16,request_primary_update,31,string,"""6""","""6""",6,true
P16,request_primary_update,32,string,"""start""","""start""",start,true
P17,primary_network_callback,1,string,"""name""","""name""",name,true
P17,primary_network_callback,2,string,"""completed""","""completed""",completed,true
P17,primary_network_callback,3,string,"""def""","""def""",def,true
P17,primary_network_callback,4,string,"""debugkey""","""debugkey""",debugkey,true
P17,primary_network_callback,5,string,"""print""","""print""",print,true
P17,primary_network_callback,6,string,"""failed""","""failed""",failed,true
P17,primary_network_callback,7,string,"""not ok""","""not ok""",not ok,true
P17,primary_network_callback,8,string,"""request""","""request""",request,true
P17,primary_network_callback,9,string,"""getResponseStatusCode""","""getResponseStatusCode""",getResponseStatusCode,true
P17,primary_network_callback,10,string,"""200""","""200""",200,true
P17,primary_network_callback,11,string,"""getResponseData""","""getResponseData""",getResponseData,true
P17,primary_network_callback,12,string,"""u7bTrcq508Ow19bttcfCvMb3""","""u7bTrcq508Ow19bttcfCvMb3""",u7bTrcq508Ow19bttcfCvMb3,true
P17,primary_network_callback,13,string,"""core_func_exit""","""core_func_exit""",core_func_exit,true
P17,primary_network_callback,14,string,"""OK""","""OK""",OK,true
P17,primary_network_callback,15,string,"""same version""","""same version""",same version,true
P17,primary_network_callback,16,string,"""isloaded""","""isloaded""",isloaded,true
P17,primary_network_callback,17,string,"""require""","""require""",require,true
P17,primary_network_callback,18,string,"""cjson""","""cjson""",cjson,true
P17,primary_network_callback,19,string,"""decode""","""decode""",decode,true
P17,primary_network_callback,20,string,"""json decode error""","""json decode error""",json decode error,true
P17,primary_network_callback,21,string,"""version""","""version""",version,true
P17,primary_network_callback,22,string,"""content""","""content""",content,true
P17,primary_network_callback,23,string,"""json format error""","""json format error""",json format error,true
P17,primary_network_callback,24,string,"""content decode error""","""content decode error""",content decode error,true
P17,primary_network_callback,25,string,"""run code error""","""run code error""",run code error,true
P18,primary_get_or_create_uuid,1,string,"""device""","""device""",device,true
P18,primary_get_or_create_uuid,2,string,"""writablePath""","""writablePath""",writablePath,true
P18,primary_get_or_create_uuid,3,string,"""bzuuid""","""bzuuid""",bzuuid,true
